id,casetype,scheduledate,time,action,suggest,comment,iscompleted,customer_id,handledby_id,,
234,Filter replacement,2017-08-07,10:00:00,,,,1,320,1,,
235,Filter replacement,2016-02-16,10:00:00,,,,1,320,1,,
236,Filter replacement,2018-08-14,10:00:00,,,,1,320,1,,
237,Installatoin,2016-08-22,10:00:00,,,,1,320,1,,
238,Checking ,2016-08-15,10:00:00,,,,1,320,1,,
239,Filter replacement,2017-02-24,10:00:00,,,,1,321,1,,
240,Filter replacement,2016-11-25,10:00:00,,,,1,321,1,,
241,Filter replacement,2018-02-13,10:00:00,,,,1,321,1,,
242,Installatoin,2016-08-25,10:00:00,,,,1,321,1,,
243,Checking ,2018-04-06,10:00:00,,,加WiFi,1,321,1,,
244,Urgent Repair,2017-03-01,10:00:00,,,,1,321,1,,
245,Checking ,2016-07-21,10:00:00,,,,1,321,1,,
246,Filter replacement,2017-08-14,10:00:00,,,,1,322,1,,
247,Filter replacement,2017-02-14,10:00:00,,,,1,322,1,,
248,Installatoin,2016-08-19,10:00:00,,,,1,322,1,,
249,Urgent Repair,2016-10-05,10:00:00,,,,1,322,1,,
250,Urgent Repair,2016-08-24,10:00:00,,,,1,322,1,,
251,Filter replacement,2016-02-16,10:00:00,,,,1,323,1,,
252,Filter replacement,2017-08-11,10:00:00,,,,1,323,1,,
253,Installatoin,2016-08-24,10:00:00,,,,1,323,1,,
254,Checking ,2016-08-22,10:00:00,,,,1,323,1,,
255,Filter replacement,2017-02-17,10:00:00,,,,1,324,1,,
256,Filter replacement,2016-08-26,10:00:00,,,,1,324,1,,
257,Urgent Repair,2016-09-20,10:00:00,,,,1,324,1,,
258,Urgent Repair,2016-08-24,10:00:00,,,,1,324,1,,
259,Filter replacement,2017-03-08,10:00:00,,,,1,326,1,,
260,Filter replacement,2017-09-04,10:00:00,,,,1,326,1,,
261,Filter replacement,2018-03-19,10:00:00,,,,1,326,1,,
262,Installatoin,2016-09-05,10:00:00,,,,1,326,1,,
263,Filter replacement,2018-05-16,10:00:00,,,,1,327,1,,
264,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
265,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
266,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
267,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
268,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
269,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
270,Filter replacement,2018-06-08,10:00:00,,,,1,331,1,,
271,Filter replacement,2018-04-25,10:00:00,,,,1,335,1,,
272,Installatoin,2018-06-05,10:00:00,,,,1,339,1,,
273,Filter replacement,2018-04-10,10:00:00,,,,1,340,1,,
274,Filter replacement,2018-04-03,10:00:00,,,,1,342,1,,
275,Filter replacement,2018-05-10,10:00:00,,,,1,343,1,,
276,Filter replacement,2018-04-09,10:00:00,,,,1,346,1,,
277,Filter replacement,2018-04-04,10:00:00,,,,1,347,1,,
278,Filter replacement,2018-04-03,10:00:00,,,,1,349,1,,
279,Filter replacement,2018-04-26,10:00:00,,,,1,350,1,,
280,Filter replacement,2018-04-03,10:00:00,,,,1,351,1,,
281,Filter replacement,2018-04-09,10:00:00,,,,1,352,1,,
282,Filter replacement,2018-06-11,10:00:00,,,,1,355,1,,
283,Filter replacement,2018-05-25,10:00:00,,,,1,357,1,,
284,Filter replacement,2018-06-12,10:00:00,,,,1,359,1,,
285,Filter replacement,2018-05-04,10:00:00,,,,1,360,1,,
286,Filter replacement,2018-07-11,10:00:00,,,,1,361,1,,
287,Filter replacement,2018-07-04,10:00:00,,,,1,364,1,,
288,Filter replacement,2018-07-04,10:00:00,,,,1,364,1,,
289,Filter replacement,2018-07-12,10:00:00,,,,1,368,1,,
290,Filter replacement,2018-07-18,10:00:00,,,,1,369,1,,
291,Filter replacement,2018-04-17,10:00:00,,,,1,370,1,,
292,Filter replacement,2018-04-17,10:00:00,,,,1,370,1,,
293,Filter replacement,2018-04-17,10:00:00,,,,1,370,1,,
294,Filter replacement,2018-07-09,10:00:00,,,,1,371,1,,
295,Checking ,2018-04-13,10:00:00,出水慢,,,1,374,1,,
296,Filter replacement,2018-07-17,10:00:00,,,,1,375,1,,
297,Filter replacement,2018-05-07,10:00:00,,,,1,376,1,,
298,Checking ,2018-04-26,10:00:00,Pantry水機出水慢,,,1,381,1,,
299,Filter replacement,2018-08-06,10:00:00,,,,1,386,1,,
300,Filter replacement,2018-03-22,10:00:00,,,,1,388,1,,
301,Filter replacement,2018-08-07,10:00:00,,,,1,388,1,,
302,Filter replacement,2018-03-21,10:00:00,,,,1,390,1,,
303,Installatoin,2017-03-03,10:00:00,Installation,,,1,392,1,,
304,Filter replacement,2018-03-26,10:00:00,,,,1,395,1,,
305,Filter replacement,2018-04-12,10:00:00,,,,1,396,1,,
306,Filter replacement,2018-03-21,10:00:00,,,,1,397,1,,
307,Filter replacement,2018-03-21,10:00:00,,,,1,398,1,,
308,Filter replacement,2018-05-04,10:00:00,,,,1,400,1,,
309,Filter replacement,2018-04-10,10:00:00,,,,1,401,1,,
310,Filter replacement,2018-04-26,10:00:00,,,,1,402,1,,
311,Filter replacement,2018-06-01,10:00:00,,,,1,403,1,,
312,Filter replacement,2018-06-01,10:00:00,,,,1,403,1,,
313,Filter replacement,2018-06-01,10:00:00,,,,1,403,1,,
314,Filter replacement,2018-06-01,10:00:00,,,,1,403,1,,
315,Filter replacement,2018-04-13,10:00:00,,,,1,405,1,,
316,Filter replacement,2018-04-13,10:00:00,,,,1,408,1,,
317,Filter replacement,2018-04-09,10:00:00,,,,1,409,1,,
318,Filter replacement,2018-04-25,10:00:00,,,,1,411,1,,
319,Filter replacement,2018-04-27,10:00:00,,,,1,412,1,,
320,Filter replacement,2018-05-07,10:00:00,,,,1,415,1,,
